eigentlich	1) actually; 2) actual, real		1) Eigentlich habe ich keine Zeit.  2) Das eigentliche Problem ist das Wetter.		1) adv; 2) adj	[sound:4ecd67c2-90a6-56c3-a149-a1171999ca08.mp3]
so etwas	such a thing		An so etwas glaube ich nicht.			[sound:9e418624-4d78-5e9f-b466-7e96dfb1d470.mp3]
alt	old		Neben dem Haus steht ein alter Baum.		adj	[sound:2c204822-d047-5ccf-ae11-c42a216a453b.mp3]
die Deutsche	German (female)	die Deutschen	Die Deutsche trägt nicht jeden Tag ein Dirndl.		noun	[sound:e1401eda-6632-5a4c-a094-c8132d163dcb.mp3]
am nächsten Tag	on the next day		Gleich am nächsten Tag wollte Torsten mit dem Rauchen aufhören.			[sound:2929b7fb-d6f4-5dcd-b2f7-20ce6ec537f7.mp3]
der Deutscher	German (male)	die Deutschen	Der Deutscher trinkt jeden Tag sein Bier.		noun	[sound:33482f37-29cf-586c-ab8b-b19e9e684e4b.mp3]
finden	to find	findet; fand; hat gefunden	Wir finden keine Lösung.		verb	[sound:d3aab0c1-a4b9-5724-8f6d-ec36fc2703b7.mp3]
wenig	1) few; 2) little, few		1) Nur wenige Haushalte haben keinen Fernseher. 2) In der Suppe ist zu wenig Salz.		1) adj; 2) pron	[sound:6cbe103a-c00b-5562-980e-cf264b85784a.mp3]
deutsch	German	die Deutschen	Die deutsche Sprache spricht man in Deutschland, Österreich und der Schweiz.		adj	[sound:a5ef7afb-4d4e-5105-a851-da5b750379d1.mp3]
das Deutsch	German (language)	no plural	Frederik hat in Deutsch eine Drei.	Im Norden der Stadt liegt der Zoo., Der Terrorismus fordert immer mehr zivile Opfer., In seiner Jugend genoss er eine strenge Erziehung., Sein Russisch konnte er wahrend eines Auslandsaufenthaltes in Moskau verbessern., Dirk ist Soldat in der Bundeswehr., Struppi hat bei Mollers ein neues Zuhause gefunden., Das Publikum applaudierte sehr lange., Die Arbeitslosigkeit ist in Brandenburg besonders hoch., Armut ist auch ein Problem von reichen Ländern., Die Bonbons schmecken wie die pure Chemie., Diese Pflanze braucht viel Licht und Pflege., Sei auf der Hut!, Der Bedarf an Fernsehgeraten ist gedeckt., Vor dieser Leistung habe ich grossen Respekt., Nach zwanzig Jahren in Deutschland hat er sein Turkisch schon fast verlernt., Rauchen gefährdet die Gesundheit., Die Opposition kritisiert das Vorgehen der Polizei gegen die Demonstranten., Die Situation erfordert viel Mut., Der Geschaftsfuhrer fliegt immer Business Class., In Zukunft werde ich weniger rauchen., Zum Theologiestudium gehort es, Griechisch zu lernen., Mathematik ist eine Hilfswissenschaft fur alle Naturwissenschaften., Ich hatte eine gluckliche Kindheit., Das Weltbild änderte sich in der Moderne grundlegend., Struppi hat bei Möllers ein neues Zuhause gefunden., Judith lernt Polnisch und Tschechisch., Kriege provozieren Hass und Gewalt., Zum Theologiestudium gehört es, Griechisch zu lernen., Matrosen fahren zur See., Armut ist auch ein Problem von reichen Landern., Das Weltbild anderte sich in der Moderne grundlegend., Sprayflaschen muss man vor großer Hitze schützen., Griechisch zu lernen., In der Mensa gibt es jeden Tag Fleisch., Zu Weihnachten lag leider kein Schnee., Es ist nicht alles Gold, Nach zwanzig Jahren in Deutschland hat er sein Türkisch schon fast verlernt., Sprayflaschen muss man vor grosser Hitze schutzen., Alles Gute und viel Gluck zum Geburtstag!, Helge ist für das Marketing in der Firma zuständig., Was kommt heute im Fernsehen?, Mein Dank ist dir gewiss., Er mochte ein Jahr lang im Ausland studieren., Italienisch ist eine romanische Sprache., Nach dem Sturz verlor sie das Bewusstsein., Die Jugend von heute ist sehr mit sich selber beschäftigt., Rauchen gefahrdet die Gesundheit., Mathematik ist eine Hilfswissenschaft für alle Naturwissenschaften., Ab nachsten Monat konnen wir neues Personal einstellen., Ullas Trauer war sehr groß., Hast du Hunger?, Antina spricht ein wenig Japanisch., Die Butter steht im Kuhlschrank., Ullas Trauer war sehr gross., Das Vertrauen in die Sicherheit wurde nachhaltig gestört., Die Warme entweicht durch schlecht isolierte Fenster., Dieses Restaurant hat eine Vielzahl von Speisen im Angebot., Ihr Verhalten ist lobenswert., Im Fernsehen sieht man das Leid der Menschen in der dritten Welt., Im Osten geht die Sonne auf., Alles Gute und viel Glück zum Geburtstag!, Die Butter steht im Kühlschrank., Ein Jurist muss das BGB kennen., Ich lerne seit der 7. Klasse Franzosisch., Ich hatte eine glückliche Kindheit., Eine hohe Anzahl von Jugendlichen sieht pessimistisch in die Zukunft., Im Internet findest du bestimmt viele Informationen dazu., Das wirtschaftliche Wachstum lasst nach., Junge Eltern brauchen Ruhe und Erholung., erfährt viel über die Gegenwart., Es ist wichtig, Die Physik beschaftigt sich mit Vorgangen in der Natur., Blut ist rot., Der Geschäftsführer fliegt immer Business Class., Die Stasi war die Überwachungsinstanz der DDR., Die Wärme entweicht durch schlecht isolierte Fenster., Im Suden Deutschlands liegen die Alpen., Die Physik beschäftigt sich mit Vorgängen in der Natur., Mit dem neuen Computer habe ich nur Arger., Jeder Kaufmann kann das HGB auswendig., Der Vorschlag entbehrt jeder Vernunft., Alle Welt spricht Englisch., Nach dem Krieg begann die Rückkehr der Flüchtlinge., BSE kann auch auf den Menschen übertragen werden., Es ist wichtig, eine Vielfalt an Meinungen zu haben., Erwachsene brauchen ca. acht Stunden Schlaf pro Tag., Das Schweigen im Raum wurde unertraglich., Der Anfang des 2 1 . Jahrhunderts stand ganz im Zeichen des Terrors., Ab nächsten Monat können wir neues Personal einstellen., BSE kann auch auf den Menschen ubertragen werden., Vor dieser Leistung habe ich großen Respekt., Der Bedarf an Fernsehgeräten ist gedeckt., Mittwochs geht Steffi zum Tennis., Trinken wir auf eine erfolgreiche Zusammenarbeit!, Wer Geschichte lernt, erfährt viel über die Gegenwart., was glänzt., Wer Geschichte lernt, Der Tourismus ist in Österreich ein wichtiger Wirtschaftszweig., Es ist nicht alles Gold, was glänzt., Spanisch ist die momentan beliebteste Fremdsprache der Deutschen., Im Süden Deutschlands liegen die Alpen., eine Vielfalt an Meinungen zu haben., Er möchte ein Jahr lang im Ausland studieren., Die Stadt macht einen Wandel durch., Helge ist fur das Marketing in der Firma zustandig., Der Verkehr stand durch die Demonstranten eine Stunde lang still., Im Mittelalter starben viele Menschen an Seuchen., Das Schweigen im Raum wurde unerträglich., Odol macht frischen Atem., Das Vertrauen in die Sicherheit wurde nachhaltig gestort., Zum Theologiestudium gehört es, Klimawandel betrifft die ganze Menschheit., Zum Nachtisch nehmen wir noch ein Eis., Sein Russisch konnte er während eines Auslandsaufenthaltes in Moskau verbessern., Viele Menschen drückten durch Spenden ihre Solidarität mit den Opfern aus., Sprichst du Chinesisch?, Ich lerne seit der 7. Klasse Französisch., Die Jugend von heute ist sehr mit sich selber beschaftigt., Ich gehe nicht gern im Dunkeln nach Hause., Hol doch bitte die Post herein., Pettersson genoss die Stille., Es ist nicht alles Gold, was glanzt., Mit Alkohol sollte man sich nicht ans Steuer setzen., Im Westen ist die Arbeitslosigkeit niedriger als im Osten., Der Handel mit China boomt., Viele Menschen druckten durch Spenden ihre Solidaritat mit den Opfern aus., Das wirtschaftliche Wachstum lässt nach., Das Wasser ist zu kalt zum Baden., Der Tourismus ist in Osterreich ein wichtiger Wirtschaftszweig., Nach dem Krieg begann die Ruckkehr der Fluchtlinge., Die Stasi war die Uberwachungsinstanz der DDR., Mit dem neuen Computer habe ich nur Ärger., Wer Geschichte lernt, erfahrt viel uber die Gegenwart.	noun	[sound:717dffc5-d9ca-5533-a023-df9efd770101.mp3]
